StationID,SampleDate,TestMaterial,ParameterCode,SampleType,QABatch,Qualifier,Result,Units,LabCode,AnalysisMethod,SampleCollectionTime,IncubatorEntryTime,ResultReadTime,Comments
GVWBL1,2014-08-07T00:00:00Z,lagoon water,E. Coli,results,NA,NA,4611,MPN/100mL,SBCK,Colilert 18 IDEXX,15:30:00,18:00:00,16:00:00,NA
GVWBL1,2014-08-07T00:00:00Z,lagoon water,Enterococcus,results,NA,>,24192,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:30:00,18:00:00,18:00:00,NA
GVWBL1,2014-08-07T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,15:30:00,18:00:00,16:00:00,NA
GVWBL1,2014-09-11T00:00:00Z,lagoon water,E. Coli,results,NA,NA,3555,MPN/100mL,SBCK,Colilert 18 IDEXX,10:30:00,15:00:00,13:00:00,NA
GVWBL1,2014-09-11T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,96,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,10:30:00,15:00:00,15:00:00,NA
GVWBL1,2014-09-11T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,10:30:00,15:00:00,13:00:00,NA
GVWBL1,2014-10-10T00:00:00Z,lagoon water,E. Coli,results,NA,NA,12996.5,MPN/100mL,SBCK,Colilert 18 IDEXX,12:30:00,15:00:00,13:00:00,NA
GVWBL1,2014-10-10T00:00:00Z,lagoon water,Enterococcus,results,NA,<,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:30:00,15:00:00,15:00:00,NA
GVWBL1,2014-10-10T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,24191.7,MPN/100mL,SBCK,Colilert 18 IDEXX,12:30:00,15:00:00,13:00:00,NA
GVWBL1,2014-11-18T00:00:00Z,lagoon water,E. Coli,results,NA,NA,1336,MPN/100mL,SBCK,Colilert 18 IDEXX,12:23:00,15:00:00,13:00:00,NA
GVWBL1,2014-11-18T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,31,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:23:00,15:00:00,15:00:00,NA
GVWBL1,2014-11-18T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,12:23:00,15:00:00,13:00:00,NA
GVWBL1,2014-12-09T00:00:00Z,lagoon water,E. Coli,results,NA,NA,426,MPN/100mL,SBCK,Colilert 18 IDEXX,11:56:00,15:00:00,13:00:00,Rep(ecoli)
GVWBL1,2014-12-09T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,11:56:00,15:00:00,15:00:00,Rep(ecoli)
GVWBL1,2014-12-09T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,11:56:00,15:00:00,13:00:00,Rep(ecoli)
GVWBL1,2015-01-07T00:00:00Z,lagoon water,E. Coli,results,NA,NA,97,MPN/100mL,SBCK,Colilert 18 IDEXX,09:30:00,15:00:00,13:00:00,W(1/10/15)Rep(2 hours late)
GVWBL1,2015-01-07T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,74,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,09:30:00,15:00:00,15:00:00,W(1/10/15)
GVWBL1,2015-01-07T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,09:30:00,15:00:00,13:00:00,W(1/10/15)
GVWBL1,2015-02-04T00:00:00Z,lagoon water,E. Coli,results,NA,<,10,MPN/100mL,SBCK,Colilert 18 IDEXX,15:00:00,17:00:00,15:00:00,NA
GVWBL1,2015-02-04T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,19862.8,MPN/100mL,SBCK,Colilert 18 IDEXX,15:00:00,17:00:00,15:00:00,NA
GVWBL1,2015-03-05T00:00:00Z,lagoon water,E. Coli,results,NA,NA,73,MPN/100mL,SBCK,Colilert 18 IDEXX,13:25:00,17:00:00,15:00:00,NA
GVWBL1,2015-03-05T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,13:25:00,17:00:00,17:00:00,NA
GVWBL1,2015-03-05T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,13:25:00,17:00:00,15:00:00,NA
GVWBL1,2015-04-08T00:00:00Z,lagoon water,E. Coli,results,NA,NA,1274,MPN/100mL,SBCK,Colilert 18 IDEXX,10:48:00,16:00:00,14:00:00,NA
GVWBL1,2015-04-08T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,11198.5,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,10:48:00,16:00:00,16:00:00,NA
GVWBL1,2015-04-08T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,24191.7,MPN/100mL,SBCK,Colilert 18 IDEXX,10:48:00,16:00:00,14:00:00,NA
GVWBL1,2015-05-14T00:00:00Z,lagoon water,E. Coli,results,NA,<,100,MPN/100mL,SBCK,Colilert 18 IDEXX,13:20:00,16:00:00,14:00:00,NA
GVWBL1,2015-05-14T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,84,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,13:20:00,16:00:00,16:00:00,NA
GVWBL1,2015-05-14T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,48840,MPN/100mL,SBCK,Colilert 18 IDEXX,13:20:00,16:00:00,14:00:00,NA
GVWBL1,2015-06-29T00:00:00Z,lagoon water,E. Coli,results,NA,NA,31,MPN/100mL,SBCK,Colilert 18 IDEXX,11:00:00,15:00:00,13:00:00,NA
GVWBL1,2015-06-29T00:00:00Z,lagoon water,Enterococcus,results,NA,<,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,11:00:00,15:00:00,15:00:00,NA
GVWBL1,2015-06-29T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,11:00:00,15:00:00,13:00:00,NA
GVWBL1,2015-07-10T00:00:00Z,lagoon water,E. Coli,results,NA,NA,2530,MPN/100mL,SBCK,Colilert 18 IDEXX,13:40:00,17:00:00,15:00:00,NA
GVWBL1,2015-07-10T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,581,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,13:40:00,17:00:00,17:00:00,NA
GVWBL1,2015-07-10T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,241920,MPN/100mL,SBCK,Colilert 18 IDEXX,13:40:00,17:00:00,15:00:00,NA
GVWBL1,2015-08-04T00:00:00Z,lagoon water,E. Coli,results,NA,<,100,MPN/100mL,SBCK,Colilert 18 IDEXX,15:48:00,17:00:00,15:00:00,NA
GVWBL1,2015-08-04T00:00:00Z,lagoon water,Enterococcus,results,NA,<,100,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:48:00,17:00:00,17:00:00,NA
GVWBL1,2015-08-04T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,241920,MPN/100mL,SBCK,Colilert 18 IDEXX,15:48:00,17:00:00,15:00:00,NA
GVWBL1,2015-09-16T00:00:00Z,lagoon water,E. Coli,results,NA,NA,1710,MPN/100mL,SBCK,Colilert 18 IDEXX,13:22:00,17:00:00,15:00:00,NA
GVWBL1,2015-09-16T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,92080,MPN/100mL,SBCK,Colilert 18 IDEXX,13:22:00,17:00:00,15:00:00,BD
GVWBL1,2015-10-13T00:00:00Z,lagoon water,E. Coli,results,NA,NA,784,MPN/100mL,SBCK,Colilert 18 IDEXX,12:25:00,14:30:00,09:45:00,NA
GVWBL1,2015-10-13T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,41,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:25:00,14:30:00,14:30:00,NA
GVWBL1,2015-10-13T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,12:25:00,14:30:00,09:45:00,NA
GVWBL1,2015-11-10T00:00:00Z,lagoon water,E. Coli,results,NA,>,241920,MPN/100mL,SBCK,Colilert 18 IDEXX,14:06:00,15:30:00,13:00:00,NA
GVWBL1,2015-11-10T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,310,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,14:06:00,15:30:00,00:00:00,NA
GVWBL1,2015-12-08T00:00:00Z,lagoon water,E. Coli,results,NA,NA,520,MPN/100mL,SBCK,Colilert 18 IDEXX,13:10:00,15:30:00,13:30:00,NA
GVWBL1,2015-12-08T00:00:00Z,lagoon water,Enterococcus,results,NA,<,100,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,13:10:00,15:30:00,15:30:00,NA
GVWBL1,2015-12-08T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,48840,MPN/100mL,SBCK,Colilert 18 IDEXX,13:10:00,15:30:00,13:30:00,NA
GVWBL1,2016-01-15T00:00:00Z,lagoon water,E. Coli,results,NA,NA,50,MPN/100mL,SBCK,Colilert 18 IDEXX,10:43:00,12:30:00,10:00:00,NA
GVWBL1,2016-01-15T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,41,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,10:43:00,12:30:00,13:30:00,NA
GVWBL1,2016-01-15T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,10:43:00,12:30:00,10:00:00,NA
GVWBL1,2016-02-09T00:00:00Z,lagoon water,E. Coli,results,NA,NA,40,MPN/100mL,SBCK,Colilert 18 IDEXX,12:00:00,14:30:00,10:45:00,NA
GVWBL1,2016-02-09T00:00:00Z,lagoon water,Enterococcus,results,NA,<,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:00:00,14:30:00,14:30:00,NA
GVWBL1,2016-02-09T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,8212,MPN/100mL,SBCK,Colilert 18 IDEXX,12:00:00,14:30:00,10:45:00,NA
GVWBL1,2016-03-08T00:00:00Z,lagoon water,E. Coli,results,NA,NA,1204,MPN/100mL,SBCK,Colilert 18 IDEXX,11:48:00,14:35:00,12:35:00,NA
GVWBL1,2016-03-08T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,359,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,11:48:00,14:35:00,14:35:00,NA
GVWBL1,2016-03-08T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,48292,MPN/100mL,SBCK,Colilert 18 IDEXX,11:48:00,14:35:00,12:35:00,NA
GVWBL1,2016-04-08T00:00:00Z,lagoon water,E. Coli,results,NA,NA,486,MPN/100mL,SBCK,Colilert 18 IDEXX,13:40:00,17:15:00,15:45:00,NA
GVWBL1,2016-04-08T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,150,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,13:40:00,17:15:00,17:15:00,NA
GVWBL1,2016-04-08T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,48392,MPN/100mL,SBCK,Colilert 18 IDEXX,13:40:00,17:15:00,15:45:00,NA
GVWBL1,2016-12-08T00:00:00Z,lagoon water,E. Coli,results,NA,NA,82,MPN/100mL,SBCK,Colilert 18 IDEXX,12:15:00,15:30:00,13:30:00,NA
GVWBL1,2016-12-08T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,450,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:15:00,15:30:00,15:30:00,NA
GVWBL1,2016-12-08T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,12:15:00,15:30:00,13:30:00,NA
GVWBL1,2017-01-13T00:00:00Z,lagoon water,E. Coli,results,NA,NA,292,MPN/100mL,SBCK,Colilert 18 IDEXX,11:07:00,13:33:00,11:33:00,Recent Rain
GVWBL1,2017-01-13T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,754,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,11:07:00,13:33:00,13:33:00,Recent Rain
GVWBL1,2017-01-13T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,48392,MPN/100mL,SBCK,Colilert 18 IDEXX,11:07:00,13:33:00,11:33:00,Recent Rain
GVWBL1,2017-02-28T00:00:00Z,lagoon water,E. Coli,results,NA,NA,40,MPN/100mL,SBCK,Colilert 18 IDEXX,14:15:00,17:00:00,15:00:00,NA
GVWBL1,2017-02-28T00:00:00Z,lagoon water,Enterococcus,results,NA,<,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,14:15:00,17:00:00,17:00:00,NA
GVWBL1,2017-02-28T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,19608,MPN/100mL,SBCK,Colilert 18 IDEXX,14:15:00,17:00:00,15:00:00,NA
GVWBL1,2017-03-28T00:00:00Z,lagoon water,E. Coli,results,NA,NA,194,MPN/100mL,SBCK,Colilert 18 IDEXX,12:22:00,16:33:00,14:30:00,NA
GVWBL1,2017-03-28T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:22:00,16:33:00,16:30:00,NA
GVWBL1,2017-03-28T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,7746,MPN/100mL,SBCK,Colilert 18 IDEXX,12:22:00,16:33:00,14:30:00,NA
GVWBL1,2017-04-07T00:00:00Z,lagoon water,E. Coli,results,NA,NA,126,MPN/100mL,SBCK,Colilert 18 IDEXX,16:30:00,19:30:00,17:30:00,NA
GVWBL1,2017-04-07T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,82,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,16:30:00,19:30:00,19:30:00,NA
GVWBL1,2017-04-07T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,31062,MPN/100mL,SBCK,Colilert 18 IDEXX,16:30:00,19:30:00,17:30:00,NA
GVWBL1,2017-05-16T00:00:00Z,lagoon water,E. Coli,results,NA,NA,40,MPN/100mL,SBCK,Colilert 18 IDEXX,15:12:00,13:45:00,11:45:00,Sample hold time >8 hours but < 24 hours
GVWBL1,2017-05-16T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:12:00,13:45:00,13:45:00,Sample hold time >8 hours but < 24 hours
GVWBL1,2017-05-16T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,922,MPN/100mL,SBCK,Colilert 18 IDEXX,15:12:00,13:45:00,11:45:00,Sample hold time >8 hours but < 24 hours
GVWBL1,2017-06-11T00:00:00Z,lagoon water,E. Coli,results,NA,NA,218,MPN/100mL,SBCK,Colilert 18 IDEXX,15:40:00,18:20:00,16:20:00,NA
GVWBL1,2017-06-11T00:00:00Z,lagoon water,Enterococcus,results,NA,<,20,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:40:00,18:20:00,18:20:00,NA
